Source Node,Destination Node,Label,Out_d_source,in_d_source,out_d_dest, in_d_dest,Transitive_frnds,Out_d_common_frnds,in_d_common_frnds,Total_frnds,Jaccard_coeff,cosine
4781412.0,3989045.0,0.0,75.0,11.0,302.0,16.0,0.0,0.0,0.0,387.0,0.0,0.0
3987737.0,1880699.0,1.0,21.0,8.0,0.0,12.0,0.0,0.0,0.0,33.0,0.0,0.0
1525911.0,3786731.0,1.0,542.0,128.0,3512.0,146.0,8.0,37.0,13.0,4081.0,0.012251899044351875,2.0401002097223016e-05
3601505.0,2381469.0,1.0,95.0,72.0,0.0,5.0,4.0,0.0,4.0,116.0,0.034482758620689655,0.004790419161676647
244237.0,4209328.0,1.0,435.0,90.0,0.0,2.0,1.0,0.0,1.0,451.0,0.0022172949002217295,0.0009523809523809524
1363098.0,1722851.0,0.0,16383.0,1112.0,0.0,1.0,0.0,0.0,1.0,17376.0,5.7550644567219155e-05,5.715918833952558e-05
687543.0,3141458.0,0.0,195.0,75.0,0.0,2.0,0.0,0.0,0.0,214.0,0.0,0.0
2289629.0,4571819.0,1.0,21.0,2.0,554.0,2928.0,1.0,0.0,1.0,3469.0,0.0002882675122513693,1.2486576929800464e-05
4023643.0,1743114.0,0.0,64.0,11.0,0.0,2.0,0.0,0.0,0.0,67.0,0.0,0.0
1942698.0,1777781.0,0.0,250.0,29.0,0.0,20.0,1.0,0.0,0.0,274.0,0.0,0.0
1110026.0,3037549.0,0.0,69.0,5.0,0.0,2.0,0.0,0.0,0.0,71.0,0.0,0.0
2059783.0,637620.0,1.0,2081.0,30.0,0.0,54.0,0.0,0.0,0.0,2136.0,0.0,0.0
2165841.0,824439.0,1.0,106.0,320.0,0.0,7.0,1.0,0.0,2.0,389.0,0.005141388174807198,0.0006706908115358819
2755450.0,299763.0,1.0,69.0,26.0,22.0,224.0,14.0,9.0,10.0,285.0,0.06666666666666667,0.0008130081300813008
1418598.0,2614140.0,0.0,1.0,32.0,0.0,9.0,0.0,0.0,0.0,42.0,0.0,0.0
358375.0,3533168.0,1.0,88.0,10.0,18.0,3624.0,4.0,1.0,1.0,3723.0,0.0005372011818426001,5.603559380918759e-06
4356094.0,673371.0,0.0,54.0,5.0,0.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0
110760.0,810314.0,1.0,37.0,14.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0
3417657.0,1476258.0,1.0,111.0,51.0,0.0,14.0,0.0,0.0,0.0,133.0,0.0,0.0
2685065.0,1307788.0,0.0,1887.0,347.0,0.0,1.0,0.0,0.0,0.0,2017.0,0.0,0.0
1003097.0,1879895.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
1593975.0,3944568.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0
242790.0,2670020.0,0.0,122.0,24.0,0.0,6.0,0.0,0.0,0.0,133.0,0.0,0.0
1305113.0,2161041.0,1.0,500.0,49.0,0.0,1.0,0.0,0.0,0.0,503.0,0.0,0.0
4335875.0,1027500.0,0.0,236.0,60.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,0.0
4735482.0,4487124.0,1.0,30.0,6.0,0.0,2.0,1.0,0.0,1.0,33.0,0.030303030303030304,0.013888888888888888
4180275.0,3637584.0,0.0,122.0,8.0,0.0,1.0,0.0,0.0,0.0,126.0,0.0,0.0
3562964.0,2723971.0,1.0,571.0,69.0,0.0,1.0,0.0,0.0,0.0,587.0,0.0,0.0
752330.0,1777625.0,1.0,481.0,53.0,0.0,592.0,3.0,0.0,7.0,1085.0,0.0064516129032258064,2.2142929446300234e-05
1129825.0,1515116.0,0.0,4239.0,387.0,0.0,2.0,0.0,0.0,0.0,4257.0,0.0,0.0
3059184.0,3275793.0,0.0,68.0,16.0,0.0,2.0,0.0,0.0,0.0,75.0,0.0,0.0
2659647.0,284198.0,1.0,111.0,855.0,0.0,1.0,0.0,0.0,0.0,956.0,0.0,0.0
320096.0,2855145.0,0.0,3066.0,61.0,0.0,41.0,5.0,0.0,1.0,3108.0,0.00032175032175032174,7.799886121662623e-06
2571619.0,2141140.0,1.0,2900.0,154.0,0.0,160.0,45.0,0.0,38.0,3028.0,0.012549537648612946,7.776686313032089e-05
935673.0,1350588.0,1.0,58.0,15.0,281.0,103.0,2.0,4.0,3.0,373.0,0.01876675603217158,0.0002497146118721461
4194360.0,3022466.0,1.0,582.0,18.0,135.0,175.0,2.0,24.0,1.0,863.0,0.028968713789107765,0.00013440860215053763
620238.0,4055755.0,1.0,87.0,28.0,275.0,10.0,0.0,2.0,0.0,376.0,0.005319148936170213,6.1022120518688026e-05
369252.0,345878.0,1.0,15.0,2.0,502.0,1880.0,4.0,8.0,0.0,2217.0,0.0036084799278304014,0.00019756013236528868
1902708.0,2071149.0,0.0,42.0,8.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0
634555.0,4176225.0,0.0,35.0,5.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0
3180663.0,2560258.0,0.0,118.0,97.0,0.0,1.0,0.0,0.0,0.0,173.0,0.0,0.0
2612926.0,2867080.0,0.0,254.0,75.0,0.0,8.0,0.0,0.0,0.0,277.0,0.0,0.0
1144841.0,2228371.0,1.0,44.0,1.0,16383.0,1065.0,2.0,0.0,0.0,17461.0,0.0,0.0
4735482.0,234477.0,1.0,30.0,6.0,131.0,399.0,0.0,0.0,2.0,448.0,0.004464285714285714,0.00010482180293501048
1860915.0,2693024.0,1.0,37.0,11.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0
1639669.0,4146402.0,1.0,55.0,2.0,0.0,15.0,1.0,0.0,1.0,69.0,0.014492753623188406,0.0011695906432748538
3276950.0,1194872.0,0.0,219.0,93.0,0.0,1.0,0.0,0.0,0.0,284.0,0.0,0.0
3577402.0,928651.0,0.0,19.0,5.0,0.0,28.0,0.0,0.0,0.0,49.0,0.0,0.0
1060607.0,4320391.0,0.0,162.0,19.0,0.0,6.0,0.0,0.0,0.0,168.0,0.0,0.0
3699352.0,4381495.0,1.0,28.0,6.0,0.0,2.0,1.0,0.0,0.0,33.0,0.0,0.0
4735482.0,2839840.0,0.0,30.0,6.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0
2644173.0,4333491.0,0.0,47.0,4.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0
354518.0,3728186.0,0.0,305.0,159.0,0.0,1.0,0.0,0.0,0.0,369.0,0.0,0.0
1860915.0,1491367.0,0.0,37.0,11.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0
1508027.0,3584027.0,1.0,2016.0,212.0,0.0,53.0,3.0,0.0,4.0,2142.0,0.0018674136321195146,3.387419125368382e-05
1152494.0,1976428.0,0.0,143.0,49.0,0.0,3.0,0.0,0.0,0.0,156.0,0.0,0.0
4199096.0,1644948.0,1.0,396.0,79.0,0.0,1.0,0.0,0.0,0.0,447.0,0.0,0.0
4223973.0,981138.0,1.0,249.0,46.0,0.0,12.0,1.0,0.0,1.0,274.0,0.0036496350364963502,0.0002824858757062147
3391867.0,4168564.0,0.0,122.0,2.0,0.0,2.0,0.0,0.0,0.0,124.0,0.0,0.0
3035439.0,368727.0,1.0,85.0,4.0,0.0,3.0,0.0,0.0,0.0,88.0,0.0,0.0
3981945.0,4542357.0,1.0,747.0,13.0,0.0,4.0,3.0,0.0,2.0,751.0,0.002663115845539281,0.0006578947368421052
2041117.0,90526.0,1.0,150.0,10.0,0.0,31.0,1.0,0.0,0.0,185.0,0.0,0.0
626359.0,1991368.0,1.0,89.0,12.0,1352.0,52.0,5.0,24.0,6.0,1426.0,0.021037868162692847,0.00021155961750021155
3927688.0,4404402.0,0.0,926.0,33.0,0.0,2.0,0.0,0.0,0.0,931.0,0.0,0.0
200780.0,3430855.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0
1821820.0,4117699.0,1.0,36.0,22.0,82.0,43.0,19.0,23.0,19.0,100.0,0.42,0.005793103448275862
2479676.0,1851334.0,0.0,226.0,6.0,0.0,2.0,0.0,0.0,0.0,230.0,0.0,0.0
127520.0,2154886.0,0.0,439.0,45.0,0.0,5.0,0.0,0.0,0.0,448.0,0.0,0.0
525700.0,2801969.0,1.0,79.0,5.0,0.0,7.0,0.0,0.0,0.0,88.0,0.0,0.0
1001509.0,3360388.0,0.0,26.0,14.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
3968950.0,1626449.0,0.0,182.0,22.0,0.0,3.0,1.0,0.0,0.0,196.0,0.0,0.0
1068106.0,3280290.0,1.0,817.0,88.0,0.0,1010.0,28.0,0.0,22.0,1803.0,0.012201885745978924,2.406870521306274e-05
3141681.0,1195875.0,0.0,367.0,62.0,0.0,3.0,0.0,0.0,0.0,404.0,0.0,0.0
451474.0,2034925.0,1.0,586.0,56.0,0.0,62.0,2.0,0.0,0.0,651.0,0.0,0.0
2619084.0,4019325.0,0.0,2000.0,316.0,0.0,1.0,0.0,0.0,0.0,2026.0,0.0,0.0
2953364.0,1712144.0,1.0,1246.0,53.0,0.0,146.0,5.0,0.0,5.0,1387.0,0.003604902667627974,2.6363799339850466e-05
1164396.0,3614400.0,1.0,94.0,12.0,0.0,68.0,1.0,0.0,0.0,164.0,0.0,0.0
4726680.0,1478878.0,1.0,111.0,15.0,0.0,46.0,1.0,0.0,0.0,160.0,0.0,0.0
664314.0,1622901.0,0.0,16383.0,298.0,0.0,1.0,0.0,0.0,0.0,16516.0,0.0,0.0
4746441.0,3501328.0,0.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0
1368561.0,292867.0,0.0,149.0,23.0,0.0,1.0,0.0,0.0,0.0,159.0,0.0,0.0
2903661.0,3378671.0,0.0,82.0,87.0,0.0,2.0,0.0,0.0,0.0,150.0,0.0,0.0
3837259.0,3598936.0,0.0,539.0,19.0,0.0,5.0,0.0,0.0,0.0,554.0,0.0,0.0
3789326.0,877256.0,0.0,126.0,26.0,0.0,3.0,0.0,0.0,0.0,131.0,0.0,0.0
513519.0,1422446.0,1.0,835.0,109.0,0.0,27.0,4.0,0.0,4.0,870.0,0.004597701149425287,0.00015693659761456373
307080.0,2145581.0,1.0,142.0,147.0,0.0,2.0,1.0,0.0,1.0,255.0,0.00392156862745098,0.0017301038062283738
737566.0,1092577.0,1.0,444.0,38.0,0.0,1.0,0.0,0.0,0.0,453.0,0.0,0.0
4410932.0,1548004.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
4266486.0,1299588.0,1.0,793.0,48.0,0.0,10.0,0.0,0.0,0.0,810.0,0.0,0.0
2238337.0,650642.0,1.0,2.0,16.0,908.0,3384.0,0.0,0.0,14.0,3948.0,0.0035460992907801418,0.00018121569845707777
719159.0,944885.0,0.0,51.0,17.0,0.0,2.0,0.0,0.0,0.0,65.0,0.0,0.0
4437808.0,58607.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2196318.0,738220.0,0.0,40.0,12.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0
2670487.0,3661457.0,1.0,1013.0,74.0,0.0,106.0,10.0,0.0,7.0,1114.0,0.0062836624775583485,6.075228688965649e-05
2006380.0,1179180.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
1700314.0,2822739.0,1.0,72.0,14.0,0.0,21.0,4.0,0.0,4.0,92.0,0.043478260869565216,0.0022148394241417496
1597356.0,1724768.0,1.0,72.0,2.0,0.0,5.0,0.0,0.0,0.0,79.0,0.0,0.0
257639.0,2589944.0,0.0,1978.0,526.0,0.0,4.0,0.0,0.0,0.0,2239.0,0.0,0.0
1256316.0,474368.0,0.0,27.0,23.0,0.0,14.0,0.0,0.0,0.0,61.0,0.0,0.0
4856507.0,2299942.0,1.0,225.0,101.0,757.0,65.0,14.0,16.0,18.0,1034.0,0.03288201160541586,0.0001268789276491574
3163449.0,204303.0,0.0,8.0,32.0,0.0,1.0,0.0,0.0,0.0,41.0,0.0,0.0
3566125.0,2836745.0,1.0,85.0,43.0,982.0,197.0,9.0,23.0,21.0,1083.0,0.040627885503231764,0.00029156064461407973
977949.0,462544.0,0.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0
1779123.0,1898029.0,0.0,138.0,78.0,0.0,2.0,0.0,0.0,0.0,199.0,0.0,0.0
1861214.0,4637347.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
4075875.0,3803198.0,1.0,4568.0,412.0,0.0,28.0,12.0,0.0,12.0,4586.0,0.0026166593981683385,8.605851979345956e-05
535356.0,1803783.0,1.0,268.0,14.0,221.0,446.0,12.0,18.0,3.0,821.0,0.025578562728380026,0.0001116463045073208
2550736.0,2491734.0,1.0,105.0,123.0,0.0,23.0,3.0,0.0,13.0,225.0,0.057777777777777775,0.002479023646071701
3018421.0,2325571.0,1.0,274.0,88.0,0.0,13.0,2.0,0.0,3.0,343.0,0.008746355685131196,0.0006374840628984276
20187.0,2593604.0,0.0,165.0,29.0,0.0,1.0,0.0,0.0,0.0,188.0,0.0,0.0
3601268.0,1013222.0,1.0,232.0,28.0,1394.0,90.0,1.0,6.0,0.0,1683.0,0.0035650623885918,1.5550487248600457e-05
397826.0,4492638.0,0.0,970.0,89.0,0.0,1.0,0.0,0.0,0.0,983.0,0.0,0.0
2524228.0,1022351.0,0.0,1491.0,115.0,0.0,8.0,0.0,0.0,0.0,1523.0,0.0,0.0
2190916.0,4408430.0,0.0,564.0,64.0,0.0,50.0,1.0,0.0,2.0,642.0,0.003115264797507788,6.369426751592356e-05
3322206.0,2833857.0,0.0,185.0,114.0,0.0,1.0,0.0,0.0,0.0,222.0,0.0,0.0
899113.0,1207768.0,0.0,1545.0,48.0,0.0,1.0,0.0,0.0,0.0,1549.0,0.0,0.0
3661676.0,119348.0,0.0,1201.0,138.0,0.0,1.0,0.0,0.0,0.0,1211.0,0.0,0.0
2262654.0,1994993.0,1.0,302.0,38.0,116.0,13.0,3.0,8.0,3.0,429.0,0.02564102564102564,0.00025079799361605107
2593001.0,4555200.0,0.0,95.0,17.0,0.0,2.0,0.0,0.0,0.0,104.0,0.0,0.0
1009043.0,4475613.0,1.0,77.0,15.0,0.0,33.0,0.0,0.0,0.0,120.0,0.0,0.0
3282645.0,1875937.0,1.0,373.0,55.0,0.0,14.0,0.0,0.0,1.0,427.0,0.00234192037470726,0.00016688918558077436
2784354.0,3872106.0,1.0,12.0,5.0,194.0,79.0,1.0,4.0,1.0,209.0,0.023923444976076555,0.0010773540185304892
2674168.0,3808760.0,0.0,38.0,23.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0
3269524.0,1591814.0,1.0,27.0,33.0,363.0,349.0,16.0,14.0,25.0,464.0,0.08405172413793104,0.0009129213483146068
3256391.0,1585689.0,0.0,243.0,11.0,0.0,1.0,0.0,0.0,0.0,250.0,0.0,0.0
2570773.0,1084350.0,1.0,51.0,2.0,0.0,81.0,1.0,0.0,0.0,132.0,0.0,0.0
1577989.0,3589370.0,1.0,57.0,25.0,0.0,21.0,2.0,0.0,2.0,77.0,0.025974025974025976,0.0011614401858304297
3154779.0,4093947.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0
1402227.0,4194777.0,0.0,28.0,6.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0
431058.0,125974.0,1.0,38.0,4.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0
1566156.0,2626355.0,1.0,837.0,149.0,0.0,23.0,4.0,0.0,5.0,897.0,0.005574136008918618,0.00022047799629596967
1791974.0,3588096.0,1.0,59.0,131.0,517.0,407.0,13.0,21.0,38.0,980.0,0.06020408163265306,0.00033606744133059924
1559902.0,2707670.0,0.0,43.0,13.0,0.0,1.0,0.0,0.0,0.0,46.0,0.0,0.0
1791290.0,153585.0,0.0,328.0,11.0,0.0,1.0,0.0,0.0,0.0,329.0,0.0,0.0
2208865.0,3075225.0,1.0,57.0,7.0,0.0,5.0,0.0,0.0,1.0,66.0,0.015151515151515152,0.003125
62925.0,1903684.0,1.0,115.0,103.0,0.0,67.0,15.0,0.0,31.0,227.0,0.13656387665198239,0.0021224154457072436
1219751.0,3081031.0,1.0,49.0,22.0,0.0,39.0,4.0,0.0,4.0,91.0,0.04395604395604396,0.001444564824846515
4218951.0,225062.0,0.0,26.0,1.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0
542335.0,4675350.0,1.0,223.0,265.0,35.0,62.0,7.0,2.0,18.0,493.0,0.04056795131845842,0.0004225114078080108
1010638.0,1920415.0,1.0,54.0,14.0,80.0,37.0,11.0,20.0,8.0,130.0,0.2153846153846154,0.003519356460532931
4727811.0,2659374.0,1.0,138.0,23.0,0.0,1.0,0.0,0.0,0.0,148.0,0.0,0.0
4286758.0,1316894.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0
4384018.0,3970445.0,1.0,54.0,7.0,0.0,1.0,0.0,0.0,0.0,59.0,0.0,0.0
230476.0,4029289.0,1.0,52.0,43.0,0.0,5.0,1.0,0.0,1.0,92.0,0.010869565217391304,0.002105263157894737
1156963.0,205584.0,0.0,341.0,42.0,0.0,1.0,0.0,0.0,0.0,356.0,0.0,0.0
3955409.0,2214426.0,1.0,69.0,1.0,0.0,12.0,0.0,0.0,0.0,81.0,0.0,0.0
1369088.0,4506305.0,1.0,1743.0,199.0,0.0,120.0,31.0,0.0,26.0,1848.0,0.01406926406926407,0.00011156882938551322
801203.0,2231788.0,1.0,47.0,25.0,0.0,18.0,0.0,0.0,0.0,89.0,0.0,0.0
1465513.0,149998.0,0.0,46.0,31.0,0.0,10.0,0.0,0.0,0.0,58.0,0.0,0.0
3146666.0,604928.0,1.0,286.0,88.0,0.0,119.0,7.0,0.0,13.0,440.0,0.029545454545454545,0.00029209544780479035
1159265.0,3231801.0,0.0,33.0,2.0,0.0,48.0,0.0,0.0,0.0,81.0,0.0,0.0
3820770.0,1474230.0,0.0,79.0,2.0,0.0,1.0,0.0,0.0,0.0,81.0,0.0,0.0
2021861.0,3680795.0,0.0,178.0,31.0,0.0,4.0,0.0,0.0,0.0,185.0,0.0,0.0
2942465.0,1298144.0,0.0,12.0,3.0,0.0,9.0,0.0,0.0,0.0,21.0,0.0,0.0
3697434.0,1935926.0,1.0,84.0,1.0,0.0,9.0,1.0,0.0,0.0,93.0,0.0,0.0
3436400.0,4509065.0,1.0,158.0,44.0,120.0,86.0,21.0,25.0,16.0,308.0,0.1331168831168831,0.0009852927040276843
1111522.0,1021552.0,0.0,1946.0,30.0,0.0,1.0,0.0,0.0,0.0,1954.0,0.0,0.0
2546710.0,4683170.0,0.0,202.0,43.0,0.0,1.0,0.0,0.0,0.0,207.0,0.0,0.0
2710682.0,4457562.0,1.0,920.0,85.0,154.0,200.0,22.0,16.0,15.0,1248.0,0.024839743589743588,8.71349467352503e-05
3964626.0,1758126.0,1.0,9477.0,485.0,16383.0,332.0,92.0,577.0,81.0,25475.0,0.025829244357212955,3.951599986619811e-06
4503747.0,2463988.0,1.0,26.0,1.0,0.0,96.0,0.0,0.0,0.0,122.0,0.0,0.0
4569293.0,1474943.0,0.0,612.0,15.0,0.0,10.0,0.0,0.0,0.0,626.0,0.0,0.0
3183404.0,1121381.0,1.0,93.0,27.0,21.0,15.0,12.0,15.0,10.0,103.0,0.24271844660194175,0.005787037037037037
1652591.0,1210269.0,1.0,64.0,12.0,69.0,1141.0,3.0,0.0,1.0,1269.0,0.0007880220646178094,1.087429317094389e-05
262467.0,4662045.0,1.0,1.0,8.0,203.0,92.0,0.0,0.0,1.0,272.0,0.003676470588235294,0.0003766478342749529
3009618.0,3361351.0,0.0,170.0,199.0,0.0,1.0,0.0,0.0,0.0,333.0,0.0,0.0
2431793.0,576205.0,1.0,5964.0,138.0,0.0,15.0,3.0,0.0,2.0,5979.0,0.0003345040976751965,2.1850759313886157e-05
2819633.0,763573.0,1.0,3.0,92.0,0.0,6.0,0.0,0.0,3.0,98.0,0.030612244897959183,0.005263157894736842
2372895.0,1474014.0,1.0,124.0,13.0,16383.0,1334.0,5.0,0.0,3.0,17787.0,0.00016866250632484398,1.2359773222880907e-06
1965681.0,2556829.0,0.0,318.0,53.0,0.0,1.0,0.0,0.0,0.0,319.0,0.0,0.0
4200818.0,2719251.0,1.0,873.0,341.0,1348.0,1786.0,135.0,127.0,204.0,3430.0,0.09650145772594752,8.699820957159033e-05
1803310.0,1320615.0,1.0,57.0,33.0,34.0,25.0,12.0,18.0,14.0,78.0,0.41025641025641024,0.006026365348399247
726580.0,3589197.0,1.0,4405.0,327.0,0.0,371.0,73.0,0.0,52.0,4731.0,0.01099133375607694,2.9619975711619917e-05
2020728.0,3149885.0,1.0,71.0,14.0,1997.0,113.0,2.0,9.0,3.0,2073.0,0.005788712011577424,6.690827989963758e-05
385632.0,580399.0,0.0,213.0,53.0,0.0,1.0,0.0,0.0,0.0,238.0,0.0,0.0
31248.0,820801.0,0.0,227.0,21.0,0.0,1.0,0.0,0.0,0.0,234.0,0.0,0.0
1144065.0,2918978.0,0.0,82.0,22.0,0.0,4.0,0.0,0.0,0.0,94.0,0.0,0.0
2787780.0,1883759.0,1.0,83.0,56.0,0.0,15.0,3.0,0.0,8.0,136.0,0.058823529411764705,0.0038369304556354917
3737264.0,4770120.0,0.0,166.0,21.0,0.0,1.0,0.0,0.0,0.0,168.0,0.0,0.0
3751007.0,462047.0,0.0,85.0,7.0,0.0,1.0,0.0,0.0,0.0,87.0,0.0,0.0
2777816.0,1760357.0,0.0,56.0,6.0,0.0,6.0,0.0,0.0,0.0,66.0,0.0,0.0
183770.0,4428626.0,0.0,2979.0,1700.0,0.0,3.0,0.0,0.0,0.0,4321.0,0.0,0.0
760813.0,2574540.0,0.0,239.0,18.0,0.0,1.0,0.0,0.0,0.0,246.0,0.0,0.0
1925020.0,4037443.0,1.0,43.0,5.0,0.0,21.0,2.0,0.0,3.0,62.0,0.04838709677419355,0.002976190476190476
4788848.0,2972517.0,0.0,1.0,76.0,0.0,6.0,0.0,0.0,0.0,83.0,0.0,0.0
2999698.0,1089185.0,1.0,1982.0,276.0,0.0,218.0,88.0,0.0,83.0,2128.0,0.03900375939849624,0.00016861556463867514
2328285.0,3030832.0,1.0,24.0,112.0,0.0,19.0,0.0,0.0,5.0,150.0,0.03333333333333333,0.001934984520123839
466078.0,1059601.0,0.0,36.0,8.0,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0
538722.0,3826813.0,0.0,503.0,24.0,0.0,1.0,0.0,0.0,0.0,508.0,0.0,0.0
4623139.0,698820.0,1.0,3488.0,235.0,0.0,2.0,0.0,0.0,0.0,3605.0,0.0,0.0
937520.0,1464211.0,0.0,67.0,33.0,0.0,6.0,0.0,0.0,0.0,85.0,0.0,0.0
1306346.0,2156666.0,1.0,87.0,37.0,0.0,10.0,0.0,0.0,0.0,124.0,0.0,0.0
1478115.0,528553.0,0.0,203.0,38.0,1013.0,69.0,0.0,0.0,0.0,1239.0,0.0,0.0
1402227.0,1699036.0,0.0,28.0,6.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0
515214.0,2644177.0,1.0,169.0,27.0,0.0,3.0,2.0,0.0,3.0,183.0,0.01639344262295082,0.00510204081632653
3663316.0,74025.0,1.0,88.0,12.0,0.0,1.0,0.0,0.0,0.0,95.0,0.0,0.0
4661326.0,4345192.0,0.0,2.0,3.0,0.0,32.0,0.0,0.0,0.0,37.0,0.0,0.0
1284298.0,2383381.0,0.0,92.0,29.0,0.0,1.0,0.0,0.0,0.0,106.0,0.0,0.0
364230.0,2108860.0,0.0,15.0,4.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0
223844.0,4682290.0,0.0,299.0,10.0,0.0,1.0,0.0,0.0,0.0,302.0,0.0,0.0
3933242.0,1356235.0,0.0,48.0,8.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0
2924619.0,1575891.0,0.0,11.0,14.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0
711883.0,1061110.0,1.0,117.0,82.0,43.0,43.0,18.0,20.0,16.0,187.0,0.1925133689839572,0.0021035409606170387
2980033.0,4332724.0,1.0,74.0,8.0,0.0,2.0,0.0,0.0,0.0,79.0,0.0,0.0
1849755.0,1250218.0,1.0,24.0,3.0,53.0,158.0,2.0,6.0,0.0,220.0,0.02727272727272727,0.00105318588730911
3296334.0,3552071.0,0.0,103.0,11.0,0.0,1.0,0.0,0.0,0.0,107.0,0.0,0.0
2435114.0,3291460.0,1.0,523.0,5.0,33.0,315.0,14.0,8.0,0.0,848.0,0.009433962264150943,4.353883664228492e-05
1785687.0,2366013.0,1.0,250.0,29.0,178.0,317.0,8.0,11.0,4.0,673.0,0.022288261515601784,0.0001086130118388183
4344658.0,4127494.0,0.0,680.0,502.0,0.0,1.0,0.0,0.0,0.0,1023.0,0.0,0.0
3313589.0,3623959.0,0.0,1127.0,141.0,0.0,1.0,0.0,0.0,0.0,1161.0,0.0,0.0
4740884.0,1250579.0,0.0,27.0,8.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0
2385566.0,1842807.0,0.0,16383.0,672.0,0.0,3.0,0.0,0.0,0.0,16705.0,0.0,0.0
1023529.0,1856676.0,1.0,15.0,13.0,197.0,236.0,12.0,11.0,11.0,257.0,0.08560311284046693,0.001814582645991422
2654851.0,2488888.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0
